# every row feeds the campaign charts; source = the measurement ledger / bench/fair-battle.md; t/s, median of 7 unless noted
cardset,cards,model,engine,codec,prefill_3k,prefill_20k,decode,notes
p100,2x P100 (1;5),Qwable-27B,upstream ik_llama.cpp 3c58ae37,MXFP4,134.2,84.0,14.27,two passes
p100,2x P100 (1;5),Qwable-27B,mainline llama.cpp 9400c89,MXFP4,209.6,255.0,,two passes 209.46/209.69 - 254.96/254.95; decode not captured (harness n_past)
p100,2x P100 (1;5),Qwable-27B,pxa shipped 45dded40d8,MXFP4,181.1,165.0,14.30,shipped build two passes 181.65/180.46 - 165.15/164.77 - 14.27/14.32
p100,2x P100 (1;5),Qwable-27B,pxa shipped 45dded40d8,PXQ4,227.37,202.92,18.33,candidate build 07:46; shipped-build re-run pending
v100,2x V100 (2;4),Qwable-27B,upstream ik_llama.cpp 3c58ae37,MXFP4,471.0,395.2,37.40,two passes 471.06/470.99 - 395.12/395.34 - 37.37/37.43
v100,2x V100 (2;4),Qwable-27B,mainline llama.cpp 9400c89,MXFP4,941.1,1191.7,34.79,two passes 940.25/941.87 - 1195.03/1188.31 - 34.75/34.82; 20k rise = CUDA graph reuse
v100,2x V100 (2;4),Qwable-27B,pxa shipped 45dded40d8,MXFP4,370.06,316.89,37.68,quiet pass 2 13:45; pass 1 363.4/314.9/35.70 (SGEMM fallthrough bug)
v100,2x V100 (2;4),Qwable-27B,pxa + precision fix (539056649a),MXFP4,851.3,585.9,37.68,two passes 851.10/851.40 @3k
v100,2x V100 (2;4),Qwable-27B,pxa shipped 45dded40d8,PXQ4 (MMVQ),807.37,589.03,34.58,pass 2 791.9/583.8/33.79; kernel fix in progress
v100,2x V100 (2;4),Qwable-27B,pxa + fused-twin split default (57fdd9091c),PXQ4,831.4,577.4,38.65,no-env 38.65 / env 38.57; MXFP4 back-to-back 37.28
1080ti,1x 1080 Ti (3),PXA-Fusion2-35B,upstream ik_llama.cpp 3c58ae37,IQ2_KS,1156.0 (cold fa-off),721.9 (chat fa-on),52.23,published-tier session 18:45; July was 1154/739/52.2
1080ti,1x 1080 Ti (3),PXA-Fusion2-35B,pxa shipped 45dded40d8,PXQ2,1013.0 (cold fa-off),624.7 (chat fa-on),65.19,PUBLISHED tier fusion2-35b-PXQ2 (c11b45ef); earlier 1346/747 was on the defective archive and is struck
1080ti,1x 1080 Ti (3),PXA-Fusion2-35B,pxa + N14 LUT 52d3e7828d,PXQ2,1032.0 (cold fa-off),635.3 (chat fa-on),65.34,PUBLISHED tier; prefill LOSES to upstream (-11%/-12%); int8 prefill nondeterminism flagged; surgery reopened
v100,2x V100 (2;4),Qwable-27B,pxa + Volta mma FA + f16 GEMM route (2a370b46a0),PXQ4,909.8,802.2,34.3,two passes 908.7/910.9 - 804.3/800.2; greedy identical @3k; PP + CUDA-graph + layer-major the measurement session
v100,2x V100 (2;4),Qwable-27B,pxa + Volta mma FA + f16 GEMM route at -ub 512,PXQ4,1032.6,1006.0,34.05,STRUCK: measured on the unsafe in-place state path; safe path = 769 @20k; re-measure on rc/unified
p100,2x P100 (1;5),Qwable-27B,pxa prefill branch at -ub 512,PXQ4,265.8,267.4,18.27,STRUCK pending re-measure on rc/unified (prefill branch lacks the np==1 fix)
p100,2x P100 (1;5),Qwable-27B,pxa prefill branch at -ub 256,PXQ4,310.7,294.1,18.34,STRUCK pending re-measure on rc/unified (prefill branch lacks the np==1 fix)
1080ti,1x 1080 Ti (3),PXA-Fusion2-35B,pxa + N15 joint-table loader + fusion guard (0a3ca95453),PXQ2,1069.1 (cold fa-off),649.7 (chat fa-on),65.03,published tier same hour: upstream 1141.4/727.8/52.34; still -6.3%/-10.7% prefill; phase 2 (MMQ tile occupancy) running
1080ti,1x 1080 Ti (3),PXA-Fusion2-35B,pxa + N16 mmq-loop tile (e902f1cf07),PXQ2,1252.8 (cold fa-off),717.5 (chat fa-on),65.0,published tier same window: upstream 1123.5/712.5; +11.5% cold, chat tie; deterministic
v100,2x V100 (2;4),Qwable-27B,pxa rc/unified-20260903 (safe path) ub 2048,PXQ4,915.0,807.4,35.10,unified build n=7 concurrent with a P100 arm; ub 512 = 831/745
p100,2x P100 (1;5),Qwable-27B,pxa rc/unified-20260903 (safe path) ub 256,PXQ4,218.4,,,unified build; ub 2048 shipped-build 231/205 stands as the P100 row until the overlap lane
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch 6163d43954,PXQ4,,,36.34,CANDIDATE 2026-09-03 01:46 decode @fill8 n=5 median; same-session base 35.12 (contended box); FUSE_DELTANET=7 graphs off; bit-exact to reference
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch 3b0c99f817 ASYNC_INPUTS=1,PXQ4,,791.2,,CANDIDATE 2026-09-03 00:50 20801 ub2048 2 runs; base same session 776.1; async default off
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch all three levers (pre-guard),PXQ4,,1018.5,,STRUCK-PENDING-GUARD 20801 ub512 busy 1.24 vs base 745; SHARE_INPUTS exposed the DeltaNet fusion race; re-measure after PXA_FUSE_DELTANET_WAR
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch d7ad0ec73b shipping defaults ub512,PXQ4,1035.0,973.0,,CANDIDATE 2026-09-03 02:34 safe carry; 2 runs 1031.3/1038.6 - 968.1/979.1; busy 1.17-1.20; output-identical to reference; soak 80/80
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch d7ad0ec73b shipping defaults ub2048,PXQ4,996.8,859.8,,CANDIDATE 2026-09-03 02:34 2 runs 992.7/1000.8 - 856.7/862.9
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch V70=0 ub2048,PXQ4,876.18,781.55,35.53,LOSS baseline for V70 GEMM cell; n=2
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch V70=1 ub2048,PXQ4,416.76,397.82,35.50,LOSS -52.4%/-49.1% vs off-ub2048; ON confirmed in logs; parity+ppl clean
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch V70=0 ub512,PXQ4,623.03,602.61,35.60,LOSS baseline for V70 GEMM cell; n=2
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch V70=1 ub512,PXQ4,369.62,362.27,35.44,LOSS -40.7%/-39.9% vs off-ub512; ON confirmed in logs
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch V70=1 CFG=2 ub512,PXQ4,344.99,336.21,35.07,LOSS -44.6%/-44.2% vs off-ub512; worse than default CFG; env-gate stays default OFF
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch 70029ee4ad SHIP defaults ub512,PXQ4,1034.9,964.5,,CANDIDATE 2026-09-03 04:55 safe carry ASYNC=0; 2 runs 1037.5/1032.3 - 961.0/967.9; busy 1.18-1.20; soak 80/80; supersedes the 02:34 rows
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch 70029ee4ad SHIP defaults ub2048,PXQ4,948.1,849.6,,CANDIDATE 2026-09-03 04:55 2 runs 943.8/952.3 - 851.6/847.5
v100,2x V100 (2;4),Qwen3.8-27B,pxa dev-branch PXA_DQC_MB=0 ub2048,PXQ4,910.46,804.31,35.31,baseline for dequant-prefetch cell; n=2
v100,2x V100 (2;4),Qwen3.8-27B,pxa dev-branch PXA_DQC_MB=768 ub2048,PXQ4,853.36,765.97,35.48,LOSS -6.3%/-4.8% vs off-ub2048; engaged confirmed (arena log+VRAM+768MiB/dev); sha-identical to off
v100,2x V100 (2;4),Qwen3.8-27B,pxa dev-branch PXA_DQC_MB=0 ub512,PXQ4,715.88,631.17,35.33,baseline for dequant-prefetch cell; n=2
v100,2x V100 (2;4),Qwen3.8-27B,pxa dev-branch PXA_DQC_MB=768 ub512,PXQ4,713.86,620.50,35.40,LOSS -0.3%(noise)/-1.7% vs off-ub512; engaged confirmed (arena log+VRAM+768MiB/dev); sha-identical to off
v100,2x V100 (2;4),Qwable-27B,pxa fold 9f72492c72 ub512,PXQ4,1119.96,1013.85,37.24,FINAL 2026-09-03 07:03 n=7 quiet box serialized; pass b 1106.89/1005.25/37.29
v100,2x V100 (2;4),Qwable-27B,pxa fold 9f72492c72 ub2048,PXQ4,996.48,883.06,37.29,FINAL 2026-09-03 n=7
v100,2x V100 (2;4),Qwable-27B,mainline llama.cpp 9400c89,MXFP4,937.01,1165.17,,FINAL 2026-09-03 n=7 in-session ub2048; ub512 933.59/1150.32; decode not captured by harness (earlier 34.8)
v100,2x V100 (2;4),Qwable-27B,upstream ik_llama.cpp 3c58ae37,MXFP4,469.80,395.33,37.39,FINAL 2026-09-03 n=7 in-session
